,철도운영기관명,선명,역명,도로명주소,전화번호,경도,위도
18,대구도시철도공사,1호선,아양교(대구국제공항입구),대구광역시 동구 아양로 지하245(신암동),053-942-7724,128.635233946,35.886481455
19,대구도시철도공사,1호선,안심(혁신도시·첨복단지),대구광역시 동구 안심로 지하 455,053-963-7769,128.688991272,35.873808882
20,대구도시철도공사,1호선,안지랑,대구광역시 남구 대명로 지하 141,053-626-7747,128.570880648,35.839105196
21,대구도시철도공사,1호선,영대병원,대구광역시 남구 대명로 지하 292 영대병원역,053-626-7760,128.587618376,35.843950199
22,대구도시철도공사,1호선,용계,대구광역시 동구 동촌로 지하 383,053-985-7798,128.644253132,35.892495517
23,대구도시철도공사,1호선,월배,대구광역시 달서구 월배로 지하 143,053-642-7732,128.530386178,35.816192013
24,대구도시철도공사,1호선,월촌,대구광역시 달서구 월배로 지하 311,053-626-7710,128.530386178,35.816192013
25,대구도시철도공사,1호선,율하,대구광역시 동구 안심로 지하57,053-962-7729,128.688991272,35.873808882
26,대구도시철도공사,1호선,중앙로,대구광역시 중구 중앙대로 424 중앙로역,053-256-7746,128.593982561,35.870810991
27,대구도시철도공사,1호선,진천,대구광역시 달서구 월배로 지하 76,053-642-7723,128.530386178,35.816192013
28,대구도시철도공사,1호선,칠성시장,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,128.580816454,35.880290638
29,대구도시철도공사,1호선,해안,대구광역시 동구 동촌로 지하167(방촌동),053-981-7775,128.644253132,35.892495517
30,대구도시철도공사,1호선,현충로,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,128.570880648,35.839105196
31,대구도시철도공사,1호선,화원,대구광역시 달성군 화원읍 비슬로 2600,053-634-5125,128.500698456,35.804458971
32,대구도시철도공사,2호선,감삼,대구광역시 달서구 달구벌대로 지하 1665(감삼동),053-552-2856,128.478381765,35.853106988
33,대구도시철도공사,2호선,강창,대구광역시 달서구 달구벌대로 지하1014,053-585-0660,128.478381765,35.853106988
34,대구도시철도공사,2호선,경대병원,대구광역시 중구 달구벌대로 지하2190 (삼덕동),053-427-0523,128.605476219,35.863439250
35,대구도시철도공사,2호선,계명대,대구광역시 달서구 달구벌대로 지하1140,053-588-0990,128.478381765,35.853106988
36,대구도시철도공사,2호선,고산,대구광역시 수성구 달구벌대로 3080,053-791-0858,128.693853384,35.842865579
37,대구도시철도공사,2호선,내당,대구광역시 서구 달구벌대로 지하1827,053-656-6038,128.548291092,35.854737616
38,대구도시철도공사,2호선,다사,대구광역시 달성군 다사읍 다사역로 지하30,053-588-6680,128.459635817,35.863264899
39,대구도시철도공사,2호선,담티(수성대·대륜),대구광역시 수성구 달구벌대로 지하 2672 ,053-752-0959,128.709374151,35.840457478
40,대구도시철도공사,2호선,대공원(삼성라이온즈파크),대구광역시 수성구 달구벌대호 지하2950,053-791-0881,0,0
41,대구도시철도공사,2호선,대구은행(대구교육청),대구광역시 수성구 달구벌대로 지하2300,053-752-0206,128.709374151,35.840457478
42,대구도시철도공사,2호선,대실,대구광역시 달성군 다사읍 달구벌대로 지하 888,053-587-1933,128.436662189,35.864760241
43,대구도시철도공사,2호선,두류,대구광역시 달서구 달구벌대로 지하1760,053-628-3663,128.478381765,35.853106988
44,대구도시철도공사,2호선,만촌,대구광역시 수성구 달구벌대로 2584,053-751-0287,128.645389701,35.858578517
45,대구도시철도공사,2호선,문양,대구광역시 달성군 다사읍 문양역길 71,053-584-6826,128.437091255,35.864077766
46,대구도시철도공사,2호선,반고개,대구광역시 달서구 달구벌대로 지하1900,053-655-1196,128.478381765,35.853106988
47,대구도시철도공사,2호선,반월당,대구광역시 중구 달구벌대로 지하2100,053-252-0689,128.605476219,35.863439250
48,대구도시철도공사,2호선,범어,대구광역시 수성구 달구벌대로 지하 2396,053-756-9376,128.709374151,35.840457478
49,대구도시철도공사,2호선,사월,대구광역시 수성구 달구벌대로 지하 3290,053-795-0767,128.709374151,35.840457478
50,대구도시철도공사,2호선,성서산업단지,대구광역시 달서구 달구벌대로 지하 1280,053-582-6215,128.478381765,35.853106988
51,대구도시철도공사,2호선,수성구청(KBS),대구광역시 수성구 달구벌대로 지하 2500,053-756-7822,128.709374151,35.840457478
52,대구도시철도공사,2호선,신매,대구광역시 수성구 달구벌대로 지하 3180,053-791-0898,128.709374151,35.840457478
53,대구도시철도공사,2호선,연호,대구광역시 수성구 달구벌대로 지하 2870,053-791-0922,128.709374151,35.840457478
54,대구도시철도공사,2호선,영남대,"경상북도 경산시 대학로 지하270(대동, 영남대역)",053-801-3785,128.761713297,35.834992191
55,대구도시철도공사,2호선,용산(서부법원·검찰청입구),대구광역시 달서구 달구벌대로 지하1476,053-553-3598,128.478381765,35.853106988
56,대구도시철도공사,2호선,이곡,대구광역시 달서구 달구벌대로 지하 1357,053-582-6214,128.478381765,35.853106988
57,대구도시철도공사,2호선,임당,경상북도 경산시 대학로 170,053-811-0732,128.741387413,35.834018354
58,대구도시철도공사,2호선,정평,경상북도 경산시 대학로 지하60,053-811-4753,128.733618238,35.833670198
59,대구도시철도공사,2호선,죽전,대구광역시 달서구 달구벌대로 지하 1560,053-556-0292,128.478381765,35.853106988
60,대구도시철도공사,2호선,청라언덕(신남),대구광역시 중구 달구벌대로 지하 2000,053-256-7728,128.605476219,35.863439250
61,대구도시철도공사,3호선,건들바위,대구광역시 남구 명덕로 260(이천동),053-327-1670,128.599633049,35.855353190
62,대구도시철도공사,3호선,공단,대구광역시 서구 팔달로 28,053-327-1668,128.553653491,35.891813330
63,대구도시철도공사,3호선,구암(과학대·보건대입구),대구광역시 북구 팔거천동로 1(구암동),053-327-1667,128.550324545,35.925658512
64,대구도시철도공사,3호선,남산(계명네거리),대구광역시 중구 남산로 2(남산동),053-327-1670,128.583227462,35.856681904
65,대구도시철도공사,3호선,달성공원,대구광역시 중구 달성로 116 (수창동),053-327-1669,128.582087375,35.875661930
66,대구도시철도공사,3호선,대봉교,대구광역시 남구 명덕로 330(이천동),053-327-1670,128.606196715,35.854936296
67,대구도시철도공사,3호선,동천,대구광역시 북구 팔거천동로 147(동천동),053-327-1667,128.556638429,35.937705772
68,대구도시철도공사,3호선,만평,대구광역시 북구 팔달로 105,053-327-1668,128.561074025,35.889840564
69,대구도시철도공사,3호선,매천시장,대구광역시 북구 매천로18길 39,053-327-1668,128.545780305,35.904429971
70,대구도시철도공사,3호선,매천,대구광역시 북구 학정로 6 매천역,053-327-1668,128.543376943,35.912758094
71,대구도시철도공사,3호선,명덕(2.28민주운동기념회관),대구광역시 남구 명덕로 186(대명동),053-327-1670,128.590357978,35.856889150
72,대구도시철도공사,3호선,범물,대구광역시 수성구 지범로 194,,128.640232094,35.820679522
73,대구도시철도공사,3호선,북구청(DGB대구은행파크),대구광역시 서구 원대로 71 (원대동2가),053-327-1669,128.581366030,35.883984792
74,대구도시철도공사,3호선,서문시장(동산병원),대구광역시 중구 달성로 50(동산동),053-327-1669,128.582239940,35.869810431
75,대구도시철도공사,3호선,수성구민운동장,대구광역시 수성구 동대구로 248(범어동),053-327-1670,128.625349976,35.852440847
76,대구도시철도공사,3호선,수성못(TBC),대구광역시 수성구 동대구로 14(지산동),053-327-1671,128.623607384,35.831419545
77,대구도시철도공사,3호선,수성시장,대구광역시 수성구 명덕로 420(수성동2가),053-327-1670,128.616018231,35.854269643
78,대구도시철도공사,3호선,어린이회관,대구광역시 수성구 동대구로 166,,128.624833377,35.845083406
79,대구도시철도공사,3호선,용지,대구광역시 수성구 범안로 83,,128.646877330,35.818381049
80,대구도시철도공사,3호선,원대,대구광역시 서구 팔달로 224-2 (원대동3가),053-327-1669,128.574548463,35.887730712
81,대구도시철도공사,3호선,지산,대구광역시 수성구 지범로 100,,128.631553992,35.825126671
82,대구도시철도공사,3호선,청라언덕(신남),대구광역시 중구 남산로 80(남산동),053-327-1669,128.582353612,35.864266715
83,대구도시철도공사,3호선,칠곡경대병원,대구광역시 북구 팔거천동로 386(동호동),053-327-1667,128.559883185,35.958435497
84,대구도시철도공사,3호선,칠곡운암,대구광역시 북구 팔거천동로 79(구암동),053-327-1667,128.554549333,35.931474201
85,대구도시철도공사,3호선,태전,대구광역시 북구 칠곡중앙대로 262,053-327-1668,128.547393382,35.919669127
86,대구도시철도공사,3호선,팔거(국립농관원·통계청),대구광역시 북구 팔거천동로 226(동천동),053-327-1667,128.558361818,35.944079507
87,대구도시철도공사,3호선,팔달시장,대구광역시 북구 팔달로 163-1 (노원동3가),053-327-1669,128.567891074,35.888839491
88,대구도시철도공사,3호선,팔달,대구광역시 북구 매천로2길 43,053-327-1668,128.546719105,35.897824529
89,대구도시철도공사,3호선,학정,대구광역시 북구 팔거천동로 310(학정동),053-327-1667,128.559190033,35.951590563
90,대구도시철도공사,3호선,황금,대구광역시 수성구 동대구로 100,,128.624297683,35.839187568
