명칭,종별,전체,전화번호,도로명주소,x,y
유원희한의원,한의원,0,053-765-1238,"대구광역시 달성군 다사읍 대실역북로 12, 2층 201호",128.466735003,35.857767428
현풍경희한의원,한의원,0,053-631-5001,대구광역시 달성군 현풍읍 현풍중앙로21길 33-14,128.443412107,35.696799545
맥한의원,한의원,0,053-614-9777,"대구광역시 달성군 유가읍 테크노상업로 100, 3층 (303호)",128.460511963,35.693234141
성서중앙성신한의원,한의원,0,053-585-7560,대구광역시 달성군 논공읍 논공로7길 39,128.437657045,35.730444904
옥포마디한의원,한의원,0,053-616-7975,대구광역시 달성군 옥포읍 돌미로2길 4,128.438346525,35.778648595
혜솔한의원,한의원,0,053-615-1015,대구광역시 달성군 옥포읍 돌미상업로1길 2,128.441766771,35.782223192
365든든한의원,한의원,9,053-591-0075,"대구광역시 달성군 다사읍 세천로 153, 2,3층",128.477767375,35.874722705
다온한의원,한의원,17,053-611-0461,대구광역시 달성군 유가읍 테크노상업로 108,128.461109730,35.693200104
온아한의원 서재세천점,한의원,0,053-592-8275,대구광역시 달성군 다사읍 서재로7길 23 (에코폴리스동화아이위시2차),128.490662778,35.868091180
이웃집한의원,한의원,0,053-615-8300,대구광역시 달성군 유가읍 테크노상업로 120 (테크노폴리스M스퀘어+),128.462921338,35.693092299
대실한의원,한의원,0,053-586-8310,대구광역시 달성군 다사읍 달구벌대로 880,128.464806280,35.857436045
비슬한의원,한의원,0,053-267-6600,"대구광역시 달성군 유가읍 테크노상업로 98, 2층 203호 (비슬타워)",128.460099496,35.693232913
소담한의원,한의원,0,053-611-3837,대구광역시 달성군 옥포읍 비슬로 2280,128.470825357,35.789736181
미래한의원,한의원,0,053-638-1777,대구광역시 달성군 화원읍 명천로 192,128.497531064,35.800498198
밝은빛한의원,한의원,0,053-623-8275,"대구광역시 달성군 유가읍 테크노상업로 96, 4층 401호",128.459703999,35.693293007
자연마디한의원,한의원,0,053-716-6331,"대구광역시 달성군 현풍읍 테크노상업로 30, 502,3호",128.453866952,35.691771484
봄한의원,한의원,0,053-563-0538,"대구광역시 달성군 다사읍 달구벌대로 871, 2층",128.464906336,35.858545766
이창욱한의원,한의원,0,053-582-1235,"대구광역시 달성군 다사읍 다사역로 35, 3층",128.457737891,35.865236612
덕우한의원,한의원,0,053-617-9333,"대구광역시 달성군 옥포읍 비슬로 2205, 2층",128.462851369,35.788742145
온전한의원,한의원,0,053-721-7760,"대구광역시 달성군 구지면 과학마을로 42, 오창빌딩 5층",128.417996750,35.655548545
대실우리한의원,한의원,0,053-585-9798,"대구광역시 달성군 다사읍 달구벌대로 881, 204호",128.465763821,35.857831340
세천아침한의원,한의원,0,053-593-0722,"대구광역시 달성군 다사읍 세천로 161, 프라임시티 302호",128.478695829,35.874874466
인성한의원,한의원,10,053-716-9500,"대구광역시 달성군 화원읍 비슬로 2713, 2층",128.511755530,35.809378765
유가한의원,한의원,0,053-615-4877,"대구광역시 달성군 유가읍 테크노공원로 73, 테크노밸리 1동 301호",0,0
화성에스한의원,한의원,0,053-617-1075,"대구광역시 달성군 현풍읍 테크노상업로 40, 3층 301호",128.454309497,35.692252463
도원한의원,한의원,0,053-643-6600,"대구광역시 달성군 화원읍 비슬로 2597, 2층",128.500510437,35.804739372
화원365한의원,한의원,0,053-710-8875,"대구광역시 달성군 화원읍 비슬로 2593, 2층",128.500106088,35.804530190
권진치과의원,치과의원,0,053-614-2318,대구광역시 달성군 현풍읍 현풍중앙로 97,128.443017383,35.697479681
화원치과의원,치과의원,0,053-632-9468,대구광역시 달성군 화원읍 비슬로 2582,128.499391628,35.803590071
우영욱치과의원,치과의원,0,053-614-9590,대구광역시 달성군 논공읍 논공로9길 91,128.444799640,35.729062008
옥포치과의원,치과의원,0,053-614-6682,"대구광역시 달성군 옥포읍 비슬로 2200-1, 3층",128.462529736,35.788128174
서원치과의원,치과의원,0,053-641-2573,"대구광역시 달성군 화원읍 비슬로 2587, 2층",128.499551519,35.804186286
현풍행복을심는치과의원,치과의원,0,053-614-7965,대구광역시 달성군 현풍읍 현풍중앙로 82,128.444749239,35.696468161
미소를심는서울치과의원,치과의원,0,053-614-2875,"대구광역시 달성군 논공읍 논공로 756, 3층",128.445285539,35.729190322
하나부부치과의원,치과의원,0,053-643-0275,"대구광역시 달성군 화원읍 비슬로 2597, 3층 (유풍빌딩)",128.500510437,35.804739372
포유삼성치과의원,치과의원,0,053-639-2822,"대구광역시 달성군 화원읍 비슬로 2490, 3층",128.490794432,35.799341560
박용환치과의원,치과의원,0,053-615-2875,대구광역시 달성군 논공읍 논공로 760,128.444955451,35.729093432
부강치과의원,치과의원,0,053-637-7528,대구광역시 달성군 화원읍 화암로 63,128.495443326,35.797730745
정연합치과의원,치과의원,0,053-631-6309,대구광역시 달성군 화원읍 비슬로 2589-2,128.500000853,35.804394788
명곡행복을심는치과의원,치과의원,0,053-644-2875,대구광역시 달성군 화원읍 화암로 71,128.496306871,35.798041533
앞선치과의원,치과의원,0,053-631-7575,대구광역시 달성군 화원읍 비슬로 2572,128.498088329,35.803215514
논공플러스치과의원,치과의원,0,053-614-7528,대구광역시 달성군 논공읍 논공로 749,128.446034363,35.729010183
중앙이치과의원,치과의원,0,053-593-3688,대구광역시 달성군 다사읍 달구벌대로 805,128.459478104,35.862708897
서재연합치과의원,치과의원,0,053-591-7528,대구광역시 달성군 다사읍 서재로24길 2,128.497605027,35.872754723
현풍이치과의원,치과의원,0,053-614-3187,대구광역시 달성군 현풍읍 현풍중앙로 61,128.445132191,35.694740851
하이치과의원,치과의원,0,053-643-3700,"대구광역시 달성군 화원읍 비슬로 2723, 401호 (대곡메디빌)",128.512698266,35.809842482
예미담치과의원,치과의원,0,053-592-2875,대구광역시 달성군 다사읍 대실역남로 2 (죽곡메가타운),128.465022103,35.857143198
이건치과의원,치과의원,0,053-641-0275,대구광역시 달성군 화원읍 비슬로539길 35,128.506837944,35.812449824
죽곡연합치과의원,치과의원,0,053-586-7744,"대구광역시 달성군 다사읍 달구벌대로 877, 5층 (MB빌딩)",128.465389248,35.858086854
이퍼스트연합치과의원,치과의원,0,053-584-7175,"대구광역시 달성군 다사읍 달구벌대로 863, 4층",128.464416570,35.858873398
현풍연합치과의원,치과의원,0,053-617-2275,"대구광역시 달성군 현풍읍 현풍중앙로 42, 2층",128.446206493,35.693358334
더조은치과의원,치과의원,0,053-632-2275,대구광역시 달성군 화원읍 비슬로 2717,128.512229452,35.809625457
이엔치과의원,치과의원,0,053-583-2275,대구광역시 달성군 다사읍 달구벌대로 873,128.465042077,35.858282429
명치과의원,치과의원,0,053-611-7528,대구광역시 달성군 논공읍 논공로23길 1,128.446362590,35.729505631
다사행복을심는치과의원,치과의원,0,053-588-2275,대구광역시 달성군 다사읍 달구벌대로 864,128.463713701,35.858687216
비타민치과의원,치과의원,0,053-592-2080,"대구광역시 달성군 다사읍 달구벌대로 881, 5층",128.465763821,35.857831340
가창스마일치과의원,치과의원,0,053-755-7528,대구광역시 달성군 가창면 가창로 1094,128.622637453,35.802167753
예사랑치과의원,치과의원,0,053-611-2804,"대구광역시 달성군 구지면 과학마을로 34, 3층",128.416962094,35.655550398
명신치과의원,치과의원,0,053-611-0275,"대구광역시 달성군 현풍읍 현풍로 48, 2층",128.444712360,35.695578828
삼성에스치과의원,치과의원,0,053-588-2818,대구광역시 달성군 다사읍 달구벌대로 866,128.464144201,35.858153649
다사굿모닝치과의원,치과의원,0,053-587-2828,대구광역시 달성군 다사읍 달구벌대로 879,128.465577718,35.858024009
더바른이치과의원,치과의원,0,053-587-8020,대구광역시 달성군 다사읍 달구벌대로 878,128.464612332,35.857600744
그랜드치과의원,치과의원,0,053-588-7528,"대구광역시 달성군 다사읍 달구벌대로 874, A동 401호",128.464242993,35.857820298
이튼튼치과의원,치과의원,0,053-625-4500,"대구광역시 달성군 옥포읍 돌미상업로1길 2, 5층",128.441766771,35.782223192
참한이치과의원,치과의원,0,053-559-2828,"대구광역시 달성군 다사읍 달구벌대로 880, 5층",128.464806280,35.857436045
사랑의치과의원,치과의원,0,053-617-2875,대구광역시 달성군 현풍읍 현풍중앙로15길 2,128.444258518,35.696423553
미소심는치과의원,치과의원,0,053-611-2879,"대구광역시 달성군 옥포읍 돌미로 65, 4층 (수성메디빌딩)",128.440943065,35.780670701
나앤이연합치과의원,치과의원,0,053-617-7528,"대구광역시 달성군 유가읍 테크노중앙대로 254, 4층 412호 (하이젠스타)",128.458236473,35.693093554
맥치과의원,치과의원,0,053-583-2876,"대구광역시 달성군 다사읍 달구벌대로 861, 5층 (백두빌딩)",128.464244497,35.859152213
현풍바른치과의원,치과의원,0,053-616-2804,"대구광역시 달성군 유가읍 테크노상업로 96, 403호",128.459703999,35.693293007
내아이처럼치과의원,치과의원,0,053-587-1275,"대구광역시 달성군 다사읍 달구벌대로 877, 4층 401호 (MB PLAZA)",128.465389248,35.858086854
미소준치과의원,치과의원,0,053-592-0100,"대구광역시 달성군 다사읍 세천로 160, 205호 (죽곡엠코애버뉴)",128.480233881,35.874417101
세천리더스치과의원,치과의원,0,053-593-7528,"대구광역시 달성군 다사읍 세천로 161, 4층 (프라임시티)",128.478695829,35.874874466
다니엘연합치과의원,치과의원,0,053-615-2829,대구광역시 달성군 현풍읍 테크노상업로 40,128.454309497,35.692252463
현풍맥치과의원,치과의원,0,053-616-2275,"대구광역시 달성군 유가읍 테크노상업로 120, 305호 (테크노폴리스M스퀘어+)",128.462921338,35.693092299
옥포리더스치과의원,치과의원,0,053-617-1211,대구광역시 달성군 옥포읍 돌미로 85,128.443081025,35.781362790
현풍 연합다담치과의원,치과의원,0,053-616-7928,대구광역시 달성군 유가읍 테크노상업로 110,128.461569317,35.693161633
에프엠치과의원,치과의원,0,053-614-2275,대구광역시 달성군 유가읍 테크노상업로 98,128.460099496,35.693232913
보배치과의원,치과의원,0,053-611-1254,대구광역시 달성군 유가읍 테크노상업로 112,128.461903626,35.693301983
구지탑치과의원,치과의원,0,053-617-2272,대구광역시 달성군 구지면 과학마을로 42,128.417996750,35.655548545
유가수연합치과의원,치과의원,0,053-615-2080,대구광역시 달성군 유가읍 테크노상업로 100,128.460511963,35.693234141
다빈치과의원,치과의원,0,053-588-2842,"대구광역시 달성군 다사읍 서재로7길 8, 진소빌딩 3층",128.492549227,35.868685861
경대웰치과의원,치과의원,0,053-636-2875,대구광역시 달성군 화원읍 사문진로 447,128.497403659,35.803728492
화원제이에스치과의원,치과의원,0,053-636-2080,"대구광역시 달성군 화원읍 비슬로 2545, 110동 3층 301~3호 (화원이진캐스빌)",128.494659411,35.803494719
대곡치과의원,치과의원,0,053-585-2875,"대구광역시 달성군 화원읍 비슬로 2727, 3층",128.513053398,35.809946212
호호부부치과의원,치과의원,0,053-585-8575,"대구광역시 달성군 다사읍 달구벌대로 875, MA PLAZA 2층",128.465228446,35.858221101
으뜸치과의원,치과의원,0,053-559-1119,"대구광역시 달성군 다사읍 달구벌대로 871, 5층",128.464906336,35.858545766
이룸연합치과의원,치과의원,0,053-710-2275,"대구광역시 달성군 구지면 과학마을로 46, 3층",128.418274413,35.655559856
양외과의원,의원,2,053-614-2542,대구광역시 달성군 현풍읍 비슬로122길 27,128.445165717,35.693542447
화원외과의원,의원,0,053-644-7575,대구광역시 달성군 화원읍 비슬로 2587,128.499551519,35.804186286
김상준내과의원,의원,0,053-611-5244,대구광역시 달성군 현풍읍 현풍로 48,128.444712360,35.695578828
임종섭이비인후과의원,의원,0,053-638-0298,대구광역시 달성군 화원읍 비슬로 2582,128.499391628,35.803590071
동산가정의학과의원,의원,0,053-614-9339,대구광역시 달성군 논공읍 논공로9길 56,128.441492712,35.730696776
박소정산부인과의원,의원,0,053-642-0864,대구광역시 달성군 화원읍 비슬로 2582,128.499391628,35.803590071
화원정형외과의원,의원,20,053-631-7875,대구광역시 달성군 화원읍 비슬로 2610,128.501927317,35.804632629
달성비뇨기과의원,의원,0,053-642-2989,대구광역시 달성군 화원읍 비슬로 2578,128.498815347,35.803379749
중앙산부인과의원,의원,0,053-614-3346,대구광역시 달성군 논공읍 용호로2길 3,128.445765124,35.728476501
서재외과의원,의원,0,053-585-3480,"대구광역시 달성군 다사읍 서재로 120, 1층",128.497925820,35.874344919
아이플러스소아청소년과의원,의원,0,053-593-3232,대구광역시 달성군 다사읍 서재로7길 2,128.492863573,35.868259771
다온연합소아청소년과의원,의원,0,053-615-4997,대구광역시 달성군 구지면 과학마을로 42,128.417996750,35.655548545
성모안과의원,의원,0,053-632-5505,대구광역시 달성군 화원읍 비슬로 2581,128.499153589,35.803979099
영남의원,의원,0,053-767-5004,대구광역시 달성군 가창면 가창로 1106,128.622363154,35.803227893
논공외과의원,의원,0,053-617-7575,대구광역시 달성군 논공읍 논공중앙로 114,128.448573518,35.727135502
한사랑연합내과의원,의원,0,053-611-8575,대구광역시 달성군 현풍읍 현풍중앙로 42 (한사랑연합내과의원),128.446206493,35.693358334
강동연합의원,의원,0,053-639-5300,대구광역시 달성군 화원읍 사문진로 441,128.496959022,35.804086727
명곡소아과의원,의원,0,053-644-0012,대구광역시 달성군 화원읍 명곡로 10 (명곡미래빌2단지상가 206호),128.495934511,35.798756269
가톨릭소아청소년과의원,의원,0,053-639-3676,"대구광역시 달성군 화원읍 명곡로 14, 303호",128.496118199,35.798447952
윤가정의학과의원,의원,0,053-592-1046,대구광역시 달성군 다사읍 달구벌대로 800-2,128.458732257,35.862102797
서주내과의원,의원,0,053-638-7566,대구광역시 달성군 화원읍 화암로 65,128.495647458,35.797796582
김지희내과의원,의원,0,053-615-7114,대구광역시 달성군 논공읍 논공로 758,128.445091776,35.729228096
동산내과의원,의원,0,053-635-2808,대구광역시 달성군 화원읍 명곡로 14,128.496118199,35.798447952
달성윤비뇨기과의원,의원,0,053-617-7582,"대구광역시 달성군 논공읍 논공로 760, 3층",128.444955451,35.729093432
연세의원,의원,0,053-638-6383,대구광역시 달성군 화원읍 성암로1길 19,128.509770263,35.802000930
그린빌의원,의원,0,053-639-8500,대구광역시 달성군 화원읍 성암로1길 9,128.509592852,35.801901935
달성내과의원,의원,0,053-615-5100,대구광역시 달성군 현풍읍 비슬로130길 79,128.443546132,35.694782185
현대외과의원,의원,0,053-616-9900,대구광역시 달성군 논공읍 논공로 756,128.445285539,35.729190322
경대연합의원,의원,0,053-632-7733,"대구광역시 달성군 화원읍 비슬로 2571, 2층",128.497962189,35.803780138
문성두외과의원,의원,0,053-639-1717,대구광역시 달성군 화원읍 명곡로 14,128.496118199,35.798447952
이 이비인후과의원,의원,0,053-593-7533,대구광역시 달성군 다사읍 달구벌대로 805,128.459478104,35.862708897
현풍제일연합의원,의원,20,053-617-7755,대구광역시 달성군 현풍읍 비슬로130길 97,128.444453032,35.695255973
윤비뇨기과의원,의원,1,053-639-1005,대구광역시 달성군 화원읍 비슬로 2723 (대곡메디빌),128.512698266,35.809842482
푸른성모안과의원,의원,0,053-593-8216,대구광역시 달성군 다사읍 달구벌대로 875,128.465228446,35.858221101
죽곡내과의원,의원,0,053-591-8275,"대구광역시 달성군 다사읍 달구벌대로 889, 201호 (대흥빌딩)",128.466288156,35.857370313
이지소아청소년과의원,의원,0,053-585-0999,대구광역시 달성군 다사읍 대실역북로 12,128.466735003,35.857767428
본이비인후과의원,의원,0,053-635-6100,대구광역시 달성군 화원읍 비슬로 2723,128.512698266,35.809842482
대곡속내과의원,의원,0,053-635-5975,대구광역시 달성군 화원읍 비슬로 2723,128.512698266,35.809842482
서재연합의원,의원,0,053-591-7975,"대구광역시 달성군 다사읍 서재로 132, 1층 (우성사우나)",128.497448775,35.875201444
해동소아청소년과의원,의원,0,053-555-6007,"대구광역시 달성군 다사읍 달구벌대로 875, 302호 (MA PLAZA)",128.465228446,35.858221101
참조은이비인후과의원,의원,0,053-591-7535,"대구광역시 달성군 다사읍 달구벌대로 877, 302호",128.465389248,35.858086854
신이비인후과의원,의원,0,053-593-7585,"대구광역시 달성군 다사읍 달구벌대로 873, 2층 (동일빌딩)",128.465042077,35.858282429
백비뇨기과의원,의원,0,053-591-0014,"대구광역시 달성군 다사읍 달구벌대로 877, 3층 (MB프라자)",128.465389248,35.858086854
수의원,의원,0,053-593-7337,"대구광역시 달성군 다사읍 달구벌대로 871, 4층",128.464906336,35.858545766
아이원소아청소년과의원,의원,0,053-591-9339,대구광역시 달성군 다사읍 달구벌대로 863,128.464416570,35.858873398
죽곡연합마취통증의학과의원,의원,2,053-584-7504,"대구광역시 달성군 다사읍 달구벌대로 877, 2층 202호 (MB프라자)",128.465389248,35.858086854
다사랑패밀리의원,의원,0,053-588-0660,"대구광역시 달성군 다사읍 다사역로 60, 109~110호 (다사 e-편한세상)",128.457357611,35.868264790
죽곡제일정형외과의원,의원,0,053-585-7300,대구광역시 달성군 다사읍 달구벌대로 873,128.465042077,35.858282429
화원삼성안과의원,의원,0,053-635-8700,대구광역시 달성군 화원읍 비슬로 2576,128.498529384,35.803239754
현풍양안과의원,의원,0,053-615-8875,"대구광역시 달성군 현풍읍 현풍중앙로 42, 2층",128.446206493,35.693358334
현풍연합내과의원,의원,0,053-611-8275,대구광역시 달성군 현풍읍 현풍중앙로 62-1,128.445474754,35.694897017
석이비인후과의원,의원,0,053-587-7533,"대구광역시 달성군 다사읍 서재로7길 12, 2층",128.492206762,35.868712817
화원가톨릭의원,의원,0,053-641-0123,"대구광역시 달성군 화원읍 비슬로 2593, 화원메디빌 401호",128.500106088,35.804530190
경대연합속내과의원,의원,0,053-586-8588,대구광역시 달성군 다사읍 달구벌대로 881,128.465763821,35.857831340
화원제일내과의원,의원,0,053-642-8772,대구광역시 달성군 화원읍 비슬로 2574,128.498351274,35.803220237
영이비인후과의원,의원,0,053-635-5082,대구광역시 달성군 화원읍 화암로 69,128.496065921,35.797925053
전앤서대실마취통증의학과의원,의원,0,053-585-5566,대구광역시 달성군 다사읍 달구벌대로 881,128.465763821,35.857831340
고운피부과의원,의원,0,053-587-5600,대구광역시 달성군 다사읍 달구벌대로 881,128.465763821,35.857831340
김성훈안과의원,의원,0,053-639-0075,"대구광역시 달성군 화원읍 비슬로 2723, 3층 302호 (대곡메디빌)",128.512698266,35.809842482
행복한통증의학과의원,의원,0,053-524-8275,"대구광역시 달성군 다사읍 대실역남로 2, 402호 (메가타운)",128.465022103,35.857143198
화원통증의학과의원,의원,0,053-636-8877,"대구광역시 달성군 화원읍 비슬로 2597, 2층 (유풍빌딩)",128.500510437,35.804739372
속찬내과의원,의원,0,053-633-5882,대구광역시 달성군 화원읍 비슬로 2585,128.499416004,35.804115061
에스장내과의원,의원,0,053-586-7119,"대구광역시 달성군 다사읍 대실역남로 2, 3층 (죽곡메가타운동)",128.465022103,35.857143198
아이마음소아청소년과의원,의원,0,053-592-6555,대구광역시 달성군 다사읍 대실역남로 2 (메가타운 3층),128.465022103,35.857143198
삼성연합속내과의원,의원,0,053-591-8855,"대구광역시 달성군 다사읍 달구벌대로 866, 3층",128.464144201,35.858153649
몸이편한정형외과의원,의원,0,053-585-3119,"대구광역시 달성군 다사읍 달구벌대로 878, 102호,601호",128.464612332,35.857600744
튼튼마디정형외과의원,의원,21,053-721-7766,대구광역시 달성군 다사읍 달구벌대로 864,128.463713701,35.858687216
가창의원,의원,0,053-763-3119,"대구광역시 달성군 가창면 가창로216길 61, 2층",128.623558629,35.804316152
서울중앙의원,의원,0,053-615-1231,대구광역시 달성군 옥포읍 비슬로 2207,128.463158848,35.788867405
참이비인후과의원,의원,0,053-616-8119,"대구광역시 달성군 현풍읍 테크노상업로 20, 201호",128.453595412,35.690953014
로즈맘산부인과의원,의원,28,053-593-3575,대구광역시 달성군 다사읍 달구벌대로 874,128.464242993,35.857820298
상쾌한이비인후과의원,의원,2,053-587-7790,"대구광역시 달성군 다사읍 달구벌대로 878, 3층",128.464612332,35.857600744
김앤박내과신경외과의원,의원,0,053-585-5375,"대구광역시 달성군 다사읍 달구벌대로 875, 3층 301호 (MA플라자)",128.465228446,35.858221101
작은별소아청소년과의원,의원,0,053-588-9696,"대구광역시 달성군 다사읍 서재로 117, 3층 (청우빌딩)",128.497119443,35.873846383
속사랑연합내과의원,의원,0,053-585-1190,"대구광역시 달성군 다사읍 서재로 117, 2층 (청우빌딩)",128.497119443,35.873846383
김동인속내과의원,의원,0,053-656-7555,"대구광역시 달성군 논공읍 논공로 749, 1층",128.446034363,35.729010183
제일연합의원,의원,0,053-583-7585,"대구광역시 달성군 다사읍 다사역로 39, 2층",128.457427591,35.865593495
가나정형외과의원,의원,0,053-961-8119,"대구광역시 달성군 유가읍 테크노상업로 100, 5층 502호 (테크노시티)",128.460511963,35.693234141
연세제일연합안과의원,의원,0,053-592-0103,"대구광역시 달성군 다사읍 달구벌대로 866, 4층 401,402호 (C&B타워)",128.464144201,35.858153649
고내과의원,의원,0,053-634-7522,"대구광역시 달성군 화원읍 비슬로 2717, 3층 (동아빌딩)",128.512229452,35.809625457
햇님소아청소년과의원,의원,0,053-617-1225,"대구광역시 달성군 옥포읍 돌미로 65, 3층 302호 (수성빌딩)",128.440943065,35.780670701
코앤연합의원,의원,0,053-642-0500,"대구광역시 달성군 옥포읍 돌미상업로1길 2, 1,3,4층",128.441766771,35.782223192
더고운의원,의원,0,053-611-7233,"대구광역시 달성군 유가읍 테크노상업로 100, 501호",128.460511963,35.693234141
현풍경대연합정형외과의원,의원,17,053-615-1288,대구광역시 달성군 현풍읍 현풍중앙로 66,128.445288140,35.695218759
조영채이비인후과의원,의원,0,053-423-2277,"대구광역시 달성군 현풍읍 현풍중앙로 66, 2층",128.445288140,35.695218759
세천퍼스트이비인후과의원,의원,0,053-583-7575,"대구광역시 달성군 다사읍 세천로 161, 301호",128.478695829,35.874874466
구지연합내과의원,의원,0,053-263-1119,대구광역시 달성군 구지면 과학마을로 34,128.416962094,35.655550398
경이비인후과의원,의원,0,053-617-7577,대구광역시 달성군 유가읍 테크노상업로 112,128.461903626,35.693301983
유가제일연합내과의원,의원,0,053-292-7582,대구광역시 달성군 유가읍 테크노상업로 108,128.461109730,35.693200104
서울속연합내과의원,의원,0,053-583-0075,대구광역시 달성군 다사읍 세천로 161,128.478695829,35.874874466
장편한경대연합내과의원,의원,0,053-657-2300,대구광역시 달성군 유가읍 테크노상업로 100,128.460511963,35.693234141
옥포의원,의원,0,053-614-0273,대구광역시 달성군 옥포읍 비슬로 2200-1,128.462529736,35.788128174
비슬아이세상연합의원,의원,29,053-719-3500,대구광역시 달성군 유가읍 테크노상업로 120 (테크노폴리스M스퀘어+),128.462921338,35.693092299
열린이비인후과의원,의원,0,053-611-2929,대구광역시 달성군 유가읍 테크노상업로 98,128.460099496,35.693232913
봄이오는안과의원,의원,0,053-614-7778,대구광역시 달성군 유가읍 테크노상업로 98,128.460099496,35.693232913
곰가족의원,의원,0,053-636-3512,대구광역시 달성군 구지면 과학마을로 46,128.418274413,35.655559856
조은이비인후과의원,의원,0,053-623-6111,대구광역시 달성군 현풍읍 테크노상업로 52,128.455794247,35.693095418
더감동정신건강의학과의원,의원,0,053-593-8875,대구광역시 달성군 다사읍 달구벌대로 880,128.464806280,35.857436045
오즈연합소아청소년과의원,의원,0,053-585-0666,대구광역시 달성군 다사읍 세천북로 5,128.478655306,35.875139082
이노소아청소년과의원,의원,0,053-719-0267,대구광역시 달성군 현풍읍 테크노상업로 52,128.455794247,35.693095418
우리연합의원,의원,0,053-634-7512,대구광역시 달성군 화원읍 비슬로 2490,128.490794432,35.799341560
현풍경대비뇨기과의원,의원,0,053-611-8700,대구광역시 달성군 현풍읍 테크노상업로 20,128.453595412,35.690953014
서울더블유비뇨기과의원,의원,0,053-614-7582,"대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타",128.458236473,35.693093554
오오피부과의원,의원,0,053-716-8255,"대구광역시 달성군 유가읍 테크노상업로 120, 테크노폴리스 M스퀘어+",128.462921338,35.693092299
미소핀피부과의원,의원,0,053-611-6600,대구광역시 달성군 유가읍 테크노상업로 108,128.461109730,35.693200104
